Luas Tanah,Jumlah Kamar,Listrik,Lokasi,Harga
103.0,3,1300,Pinggir,475616152.0
195.0,4,1300,Pinggir,761726199.0
93.0,2,900,Pinggir,406756935.0
63.0,2,2200,Pinggir,374071915.0
144.0,4,2200,Pinggir,684005216.0
97.0,3,3500,Pusat,706443945.0
64.0,4,900,Pusat,503310114.0
89.0,4,900,Pusat,574276787.0
131.0,5,1300,Pusat,767018490.0
160.0,4,900,Pinggir,658278769.0
102.0,2,2200,Pinggir,501342276.0
73.0,4,900,Pinggir,408829066.0
173.0,2,1300,Pusat,806755063.0
90.0,2,3500,Pinggir,548091145.0
64.0,2,1300,Pinggir,328228807.0
94.0,3,1300,Pinggir,462288599.0
114.0,5,3500,Pusat,829134440.0
138.0,2,1300,Pinggir,553463158.0
120.0,2,1300,Pusat,653803208.0
58.0,3,900,Pusat,481958638.0
137.0,2,900,Pusat,711823502.0
178.0,4,3500,Pusat,1006967791.0
185.0,4,900,Pinggir,737199725.0
112.0,5,900,Pusat,668640167.0
188.0,2,1300,Pusat,868608785.0
130.0,3,2200,Pinggir,597322153.0
185.0,4,900,Pinggir,746073939.0
82.0,3,2200,Pusat,614303750.0
131.0,3,900,Pinggir,452601359.0
54.0,4,900,Pusat,483001900.0
90.0,3,3500,Pusat,713180762.0
77.0,4,3500,Pusat,696284261.0
184.0,3,3500,Pusat,967371616.0
121.0,4,2200,Pinggir,601737371.0
61.0,2,1300,Pusat,477163766.0
82.0,5,900,Pinggir,439546183.0
97.0,4,900,Pinggir,460451300.0
111.0,4,900,Pinggir,521833647.0
86.0,5,2200,Pinggir,500843236.0
148.0,4,3500,Pusat,891126467.0
153.0,4,1300,Pinggir,641379933.0
84.0,3,2200,Pusat,627439173.0
150.0,5,3500,Pinggir,777931189.0
180.0,2,2200,Pinggir,751853087.0
50.0,4,1300,Pusat,510515016.0
54.0,5,3500,Pusat,645898827.0
191.0,3,2200,Pusat,946000970.0
152.0,2,1300,Pinggir,613362925.0
76.0,5,900,Pinggir,433781302.0
186.0,2,1300,Pusat,860355904.0
64.0,2,900,Pusat,461226156.0
139.0,2,2200,Pusat,774640477.0
91.0,4,3500,Pusat,737754469.0
173.0,4,3500,Pinggir,828114910.0
112.0,3,2200,Pusat,711698550.0
145.0,3,3500,Pusat,870729471.0
101.0,5,3500,Pusat,760592536.0
145.0,3,900,Pusat,748466841.0
181.0,2,2200,Pinggir,728504381.0
192.0,2,1300,Pusat,878296381.0
78.0,4,900,Pinggir,409218082.0
85.0,2,2200,Pusat,622432795.0
62.0,5,900,Pusat,539190067.0
120.0,2,1300,Pinggir,500898885.0
131.0,2,1300,Pusat,615570706.0
77.0,5,2200,Pinggir,478946155.0
115.0,3,1300,Pinggir,515850872.0
94.0,3,900,Pusat,577384778.0
111.0,5,1300,Pinggir,567242670.0
183.0,4,900,Pinggir,730371947.0
77.0,2,900,Pinggir,352703560.0
77.0,5,1300,Pinggir,444562775.0
157.0,2,2200,Pinggir,680012949.0
93.0,4,3500,Pinggir,564533634.0
133.0,2,1300,Pinggir,554709963.0
131.0,5,900,Pinggir,505421467.0
124.0,2,900,Pusat,645102873.0
177.0,3,1300,Pusat,874178068.0
141.0,4,2200,Pinggir,658325339.0
131.0,4,2200,Pusat,708888665.0
170.0,4,900,Pinggir,694581501.0
76.0,5,900,Pinggir,404406368.0
170.0,4,2200,Pusat,903618516.0
165.0,3,3500,Pinggir,765785267.0
52.0,5,1300,Pinggir,369001960.0
152.0,3,900,Pinggir,613747442.0
186.0,2,900,Pinggir,689150865.0
111.0,2,2200,Pusat,681908234.0
100.0,2,1300,Pinggir,472043861.0
108.0,2,2200,Pinggir,519866128.0
167.0,3,1300,Pinggir,666897034.0
145.0,5,1300,Pusat,797071962.0
162.0,5,1300,Pinggir,720265186.0
111.0,4,900,Pusat,643432019.0
101.0,3,3500,Pusat,739130108.0
61.0,2,2200,Pinggir,381479375.0
88.0,3,3500,Pinggir,539392034.0
179.0,4,2200,Pusat,923394487.0
180.0,4,1300,Pinggir,745671003.0
162.0,3,900,Pusat,783912550.0
150.0,3,3500,Pusat,901204667.0
162.0,3,900,Pinggir,652643648.0
130.0,5,2200,Pinggir,668294471.0
162.0,2,900,Pusat,760693374.0
51.0,3,900,Pusat,466563971.0
179.0,3,3500,Pusat,982114233.0
103.0,3,1300,Pusat,650230949.0
136.0,4,900,Pinggir,567307086.0
178.0,4,1300,Pinggir,734793044.0
196.0,5,2200,Pinggir,836329442.0
175.0,2,900,Pinggir,670371444.0
131.0,5,3500,Pinggir,613831924.0
102.0,2,2200,Pusat,675722995.0
117.0,4,2200,Pinggir,574456653.0
172.0,4,3500,Pinggir,802888806.0
194.0,4,900,Pinggir,767912354.0
87.0,5,900,Pinggir,473516108.0
73.0,3,2200,Pinggir,454314894.0
118.0,3,900,Pusat,643058848.0
165.0,4,1300,Pusat,820809178.0
147.0,3,3500,Pusat,862934106.0
188.0,3,1300,Pinggir,738339821.0
193.0,5,900,Pusat,935066661.0
146.0,2,2200,Pusat,802275469.0
173.0,4,3500,Pinggir,826284899.0
119.0,4,900,Pinggir,540398068.0
142.0,5,900,Pinggir,617530109.0
52.0,5,2200,Pusat,569195170.0
197.0,3,2200,Pusat,968965074.0
196.0,4,1300,Pinggir,797575901.0
139.0,2,3500,Pinggir,685533566.0
196.0,5,3500,Pusat,1048779277.0
197.0,2,2200,Pusat,923892371.0
131.0,2,1300,Pinggir,445200944.0
101.0,4,3500,Pinggir,611747415.0
177.0,4,2200,Pusat,911539669.0
88.0,5,900,Pinggir,458599352.0
131.0,4,3500,Pusat,845292909.0
153.0,4,1300,Pusat,803413938.0
178.0,4,1300,Pusat,876016233.0
60.0,2,1300,Pusat,499496200.0
91.0,5,900,Pinggir,458228691.0
148.0,3,3500,Pinggir,743020414.0
56.0,2,3500,Pusat,596827578.0
193.0,4,900,Pusat,897907579.0
139.0,2,3500,Pusat,817453174.0
161.0,4,900,Pusat,794124152.0
109.0,4,900,Pusat,633164795.0
162.0,2,900,Pinggir,614767053.0
51.0,5,1300,Pinggir,350409381.0
178.0,4,3500,Pinggir,844086627.0
97.0,5,900,Pinggir,477959207.0
189.0,3,3500,Pusat,1014293149.0
86.0,4,1300,Pusat,603060832.0
58.0,5,900,Pusat,499077175.0
148.0,5,2200,Pusat,845074355.0
196.0,3,1300,Pusat,911856024.0
97.0,5,2200,Pinggir,550789002.0
180.0,5,3500,Pusat,996558242.0
197.0,3,3500,Pinggir,888648168.0
103.0,4,1300,Pinggir,497074362.0
169.0,5,3500,Pinggir,849873885.0
165.0,5,2200,Pinggir,756725224.0
124.0,5,900,Pusat,702445315.0
162.0,2,900,Pinggir,609552442.0
153.0,3,900,Pinggir,603618395.0
133.0,2,1300,Pinggir,570566791.0
161.0,3,3500,Pusat,907714177.0
148.0,4,2200,Pusat,823805436.0
142.0,4,3500,Pusat,868204776.0
195.0,5,3500,Pinggir,909986039.0
177.0,3,3500,Pinggir,801051646.0
159.0,4,900,Pusat,785625654.0
131.0,3,2200,Pinggir,593285711.0
103.0,4,2200,Pusat,701055388.0
117.0,2,3500,Pusat,763353135.0
82.0,4,900,Pinggir,415689949.0
191.0,2,900,Pinggir,719385867.0
70.0,4,2200,Pinggir,450108322.0
97.0,5,900,Pinggir,475241354.0
197.0,2,900,Pusat,889976813.0
177.0,4,900,Pusat,860999678.0
185.0,5,1300,Pusat,911059860.0
184.0,2,3500,Pusat,951900164.0
194.0,5,2200,Pusat,981909551.0
177.0,3,2200,Pinggir,744952275.0
131.0,3,1300,Pusat,611336356.0
164.0,2,3500,Pusat,909456258.0
168.0,4,2200,Pusat,891178283.0
71.0,2,900,Pinggir,351871392.0
87.0,5,2200,Pinggir,514704180.0
158.0,4,900,Pinggir,629460796.0
100.0,3,1300,Pinggir,469503356.0
57.0,4,900,Pusat,481994376.0
76.0,3,2200,Pusat,617412770.0
76.0,4,2200,Pinggir,452989904.0
70.0,4,2200,Pinggir,439392609.0
79.0,4,1300,Pusat,579089239.0
146.0,5,1300,Pusat,794594207.0
77.0,5,3500,Pinggir,575824448.0
160.0,2,2200,Pinggir,667822636.0
110.0,2,900,Pinggir,474851990.0
97.0,3,1300,Pinggir,482732334.0
196.0,5,2200,Pusat,995532327.0
53.0,3,2200,Pusat,528097931.0
84.0,2,1300,Pusat,556012021.0
98.0,3,3500,Pinggir,594453486.0
66.0,2,1300,Pinggir,368104616.0
95.0,5,1300,Pusat,638153113.0
166.0,4,900,Pusat,839827955.0
55.0,5,900,Pusat,515254492.0
148.0,3,3500,Pusat,886090738.0
173.0,3,2200,Pinggir,752269285.0
86.0,5,1300,Pusat,635436728.0
73.0,5,3500,Pusat,687136003.0
142.0,2,900,Pusat,710547958.0
95.0,3,1300,Pusat,618748123.0
144.0,3,2200,Pusat,805623755.0
148.0,5,900,Pusat,783139308.0
165.0,4,900,Pusat,808659522.0
116.0,3,900,Pinggir,508528279.0
177.0,4,3500,Pinggir,845639841.0
67.0,5,2200,Pinggir,458811802.0
74.0,5,1300,Pinggir,456594934.0
103.0,2,3500,Pusat,730912512.0
107.0,3,3500,Pinggir,600319175.0
116.0,4,3500,Pinggir,672101526.0
153.0,2,900,Pusat,727100581.0
73.0,3,2200,Pusat,605216069.0
163.0,2,3500,Pinggir,737672277.0
131.0,5,1300,Pinggir,513861720.0
131.0,3,2200,Pusat,662545745.0
176.0,2,1300,Pinggir,673643344.0
179.0,2,2200,Pusat,903575804.0
66.0,4,1300,Pusat,539077579.0
153.0,2,900,Pusat,728854042.0
186.0,3,3500,Pusat,992248594.0
92.0,3,1300,Pinggir,434830121.0
88.0,4,2200,Pusat,645951552.0
75.0,3,3500,Pusat,653838428.0
148.0,5,3500,Pinggir,767130540.0
99.0,3,2200,Pusat,683926887.0
62.0,3,1300,Pinggir,345268173.0
109.0,2,900,Pinggir,448034722.0
184.0,2,900,Pinggir,690787347.0
106.0,3,1300,Pusat,639611127.0
85.0,4,3500,Pinggir,544070028.0
69.0,2,3500,Pinggir,476728252.0
114.0,4,3500,Pusat,800647205.0
57.0,3,3500,Pinggir,468916781.0
193.0,3,1300,Pinggir,745260784.0
191.0,5,3500,Pinggir,879369277.0
164.0,2,2200,Pinggir,694299783.0
192.0,3,3500,Pinggir,864499306.0
141.0,5,900,Pusat,748749971.0
147.0,2,3500,Pinggir,701711072.0
115.0,3,1300,Pinggir,524527188.0
81.0,3,900,Pusat,532460276.0
135.0,2,1300,Pusat,716507881.0
100.0,2,1300,Pusat,612445000.0
112.0,2,900,Pinggir,468962327.0
174.0,3,1300,Pusat,865516260.0
199.0,3,1300,Pinggir,766226224.0
107.0,5,3500,Pinggir,659034792.0
107.0,4,2200,Pusat,715509968.0
135.0,2,1300,Pusat,709170135.0
98.0,3,1300,Pinggir,450500948.0
119.0,3,1300,Pusat,668327090.0
64.0,2,3500,Pinggir,457885050.0
103.0,4,2200,Pusat,710834022.0
150.0,2,900,Pusat,754391628.0
57.0,4,3500,Pusat,621226559.0
102.0,3,3500,Pinggir,607257426.0
109.0,4,2200,Pusat,724870540.0
157.0,5,2200,Pinggir,743434302.0
54.0,3,3500,Pinggir,466112237.0
152.0,5,900,Pinggir,669456876.0
55.0,2,3500,Pinggir,426969728.0
158.0,2,2200,Pusat,824491595.0
165.0,2,900,Pinggir,641175239.0
143.0,4,2200,Pinggir,654845447.0
96.0,3,900,Pusat,608103852.0
148.0,2,1300,Pinggir,590737532.0
104.0,2,2200,Pusat,650312934.0
101.0,3,2200,Pinggir,506900379.0
193.0,2,3500,Pusat,1011358841.0
62.0,5,2200,Pinggir,437353540.0
163.0,3,2200,Pusat,845722055.0
173.0,3,1300,Pinggir,689056024.0
155.0,3,2200,Pinggir,674035949.0
196.0,5,1300,Pusat,951298198.0
194.0,3,1300,Pusat,919672748.0
169.0,5,1300,Pusat,858281646.0
112.0,3,1300,Pusat,680980720.0
68.0,4,900,Pinggir,387751505.0
141.0,2,3500,Pinggir,689958593.0
107.0,4,900,Pusat,664835523.0
139.0,2,2200,Pinggir,634962717.0
166.0,5,900,Pusat,837945952.0
111.0,4,900,Pusat,651363838.0
72.0,3,2200,Pinggir,443550115.0
176.0,2,2200,Pinggir,719044590.0
186.0,2,2200,Pinggir,749633575.0
189.0,4,900,Pinggir,727059667.0
178.0,5,900,Pinggir,745540128.0
107.0,4,2200,Pinggir,549826233.0
171.0,5,3500,Pinggir,854855538.0
50.0,5,3500,Pusat,623149286.0
83.0,2,1300,Pusat,561596545.0
145.0,4,2200,Pusat,828498524.0
175.0,4,1300,Pusat,879184104.0
167.0,5,3500,Pusat,981018569.0
97.0,4,1300,Pinggir,476930625.0
138.0,3,2200,Pusat,785227468.0
166.0,3,2200,Pusat,857249677.0
178.0,4,2200,Pusat,934223477.0
65.0,4,900,Pusat,527327176.0
118.0,5,1300,Pusat,712737336.0
71.0,3,3500,Pusat,650432851.0
142.0,3,3500,Pusat,869373620.0
125.0,2,3500,Pinggir,636938661.0
193.0,5,900,Pinggir,757834242.0
135.0,2,900,Pusat,681671439.0
78.0,3,2200,Pinggir,463584733.0
118.0,5,3500,Pinggir,665494503.0
96.0,4,900,Pinggir,475266497.0
143.0,5,2200,Pinggir,700707048.0
193.0,4,3500,Pusat,1014684029.0
134.0,4,1300,Pinggir,582337355.0
88.0,5,2200,Pinggir,510981440.0
149.0,4,900,Pinggir,628918198.0
82.0,2,900,Pusat,548554126.0
150.0,3,2200,Pusat,816684388.0
72.0,4,2200,Pusat,604138519.0
59.0,2,900,Pusat,462978981.0
118.0,4,1300,Pusat,686964443.0
149.0,3,3500,Pusat,883444021.0
83.0,2,1300,Pusat,568751594.0
187.0,3,2200,Pinggir,795600593.0
131.0,3,1300,Pinggir,459688482.0
145.0,2,900,Pinggir,560168293.0
50.0,2,2200,Pusat,513222265.0
118.0,2,3500,Pusat,787309051.0
53.0,5,900,Pusat,516337259.0
65.0,2,900,Pusat,466465377.0
73.0,2,3500,Pusat,653683871.0
129.0,2,3500,Pinggir,636902059.0
51.0,2,1300,Pinggir,327128126.0
177.0,4,2200,Pusat,923005782.0
133.0,5,3500,Pusat,881345255.0
189.0,3,3500,Pusat,999496623.0
173.0,2,2200,Pusat,880457080.0
82.0,4,3500,Pinggir,541569315.0
150.0,4,3500,Pusat,895089851.0
61.0,4,1300,Pusat,511887008.0
116.0,3,900,Pusat,670170084.0
114.0,2,900,Pusat,628970950.0
123.0,5,900,Pinggir,552457411.0
92.0,5,900,Pusat,610137344.0
93.0,4,3500,Pusat,753275054.0
78.0,3,2200,Pinggir,440933705.0
190.0,3,2200,Pinggir,792322619.0
61.0,3,1300,Pinggir,354794513.0
144.0,5,1300,Pusat,805820898.0
95.0,4,3500,Pusat,759564766.0
179.0,2,2200,Pinggir,731512253.0
84.0,5,2200,Pinggir,501615754.0
130.0,4,900,Pinggir,577254832.0
139.0,4,3500,Pinggir,724529829.0
57.0,2,3500,Pinggir,430557759.0
142.0,2,900,Pinggir,563414241.0
139.0,2,3500,Pusat,821004471.0
164.0,3,3500,Pusat,922723723.0
154.0,2,1300,Pusat,750765056.0
184.0,4,2200,Pinggir,775325315.0
107.0,2,3500,Pinggir,580067121.0
163.0,4,1300,Pinggir,669217092.0
124.0,5,2200,Pinggir,649375319.0
169.0,3,900,Pinggir,665429562.0
70.0,5,1300,Pinggir,407846274.0
187.0,5,1300,Pusat,945542531.0
150.0,4,2200,Pusat,843846553.0
148.0,5,900,Pinggir,652268890.0
85.0,4,1300,Pusat,604649133.0
145.0,2,3500,Pinggir,696159082.0
86.0,2,3500,Pusat,686931226.0
61.0,4,3500,Pinggir,484213225.0
162.0,2,900,Pinggir,621655666.0
62.0,3,1300,Pusat,524187633.0
72.0,5,3500,Pusat,674033349.0
148.0,3,900,Pinggir,605687290.0
154.0,5,3500,Pinggir,794646076.0
79.0,2,2200,Pusat,590184270.0
66.0,3,1300,Pusat,517930164.0
162.0,2,1300,Pinggir,655337309.0
111.0,5,900,Pusat,679680041.0
133.0,4,900,Pinggir,585590521.0
161.0,4,1300,Pinggir,687051004.0
135.0,3,3500,Pinggir,681999401.0
190.0,2,3500,Pinggir,821299492.0
68.0,2,2200,Pusat,556576162.0
149.0,3,3500,Pusat,890465797.0
189.0,4,900,Pusat,911483075.0
196.0,5,900,Pusat,943732364.0
125.0,3,3500,Pusat,824404782.0
58.0,5,900,Pusat,507556255.0
77.0,4,1300,Pusat,589989909.0
177.0,2,1300,Pinggir,705206376.0
101.0,4,3500,Pusat,767362480.0
132.0,3,1300,Pusat,705327308.0
160.0,2,1300,Pinggir,638729530.0
193.0,3,2200,Pusat,941633010.0
166.0,3,2200,Pusat,871442985.0
118.0,4,1300,Pinggir,554291884.0
148.0,3,3500,Pusat,889596658.0
189.0,4,2200,Pusat,959745849.0
74.0,2,900,Pusat,518981908.0
172.0,4,900,Pinggir,694675262.0
102.0,2,900,Pusat,590854315.0
193.0,4,3500,Pusat,1016844180.0
106.0,5,1300,Pinggir,524010186.0
88.0,5,900,Pusat,604148530.0
158.0,3,3500,Pinggir,777620544.0
91.0,4,2200,Pinggir,503061403.0
191.0,4,1300,Pusat,918871102.0
171.0,2,2200,Pinggir,721105186.0
182.0,3,3500,Pinggir,816301358.0
124.0,4,900,Pusat,695283361.0
195.0,3,900,Pinggir,739425418.0
125.0,5,3500,Pinggir,697970147.0
58.0,4,900,Pusat,483889084.0
123.0,4,1300,Pusat,694871522.0
194.0,3,3500,Pusat,1019826747.0
56.0,4,2200,Pinggir,403523665.0
190.0,3,3500,Pusat,1014538040.0
186.0,4,1300,Pinggir,768736338.0
76.0,2,1300,Pinggir,382382100.0
171.0,3,3500,Pinggir,809607303.0
54.0,4,3500,Pinggir,482259675.0
78.0,5,900,Pinggir,446829124.0
132.0,4,1300,Pinggir,600188752.0
